denominator,unit,revenue_state,lower_pct,central_pct,upper_pct,interpretation
A. All listed apps,App,Current month,0.31055651747177354,0.9800557054831217,2.7438196087454645,
B. Active apps,App,Current month,1.6005538216736794,3.2544896962596312,5.982105582648006,
C. Active monetized apps,App,Current month,4.352664812026922,7.680061725552447,12.37757974169325,
D. Independently owned active apps,App,Current month,2.3966056903858997,4.495170541416897,7.880472448989749,
E. Serious commercial attempts,App,Current month,5.255374669490444,10.232853764617298,17.43522965752049,
F. Maintained for at least 12 months,App,Current month,6.205241707741573,12.259265380172229,21.399355336536523,
A. All listed apps,Developer,Current month,0.517505074569171,1.5483980892646525,4.244774566648625,
B. Active apps,Developer,Current month,2.5884410695639075,5.092743632089356,9.16109753807435,
C. Active monetized apps,Developer,Current month,6.834353398615692,11.668873738021937,18.25090782886103,
D. Independently owned active apps,Developer,Current month,3.8854916726234756,7.038230780992999,11.99510318183512,
E. Serious commercial attempts,Developer,Current month,8.360258897371144,15.408261737906557,25.019874900428572,
F. Maintained for at least 12 months,Developer,Current month,9.796952614982061,18.205714683553488,29.965280883215144,
A. All listed apps,App,3-month sustained,0.21636339908223545,0.6971791597730692,2.0065566714196916,
B. Active apps,App,3-month sustained,1.09531501003582,2.315876536039828,4.431071018193685,
C. Active monetized apps,App,3-month sustained,2.958640808056413,5.461278433501717,9.247226776761169,
D. Independently owned active apps,App,3-month sustained,1.6311703770907429,3.198760495256471,5.848286736374264,
E. Serious commercial attempts,App,3-month sustained,3.5882113543471696,7.276248753968412,13.013156401784897,
F. Maintained for at least 12 months,App,3-month sustained,4.236907355172242,8.715790525410428,15.944223445332698,
A. All listed apps,Developer,3-month sustained,0.3971009144376541,1.2076968371991978,3.364479455502138,
B. Active apps,Developer,3-month sustained,1.9657009933045506,3.9688458437476135,7.335735316389274,
C. Active monetized apps,Developer,3-month sustained,5.163324221334906,9.091217767816296,14.741092755063123,
D. Independently owned active apps,Developer,3-month sustained,2.9454973801746194,5.489665098424489,9.625681624054257,
E. Serious commercial attempts,Developer,3-month sustained,6.341137585133866,12.002086415790092,20.179481868509974,
F. Maintained for at least 12 months,Developer,3-month sustained,7.431550040669964,14.189466892267417,24.15308837075656,
A. All listed apps,App,6-month sustained sensitivity,0.17065474084736657,0.564391506828723,1.6514916235178465,
B. Active apps,App,6-month sustained sensitivity,0.8575833563816077,1.8743964598285354,3.6982179188720448,
C. Active monetized apps,App,6-month sustained sensitivity,2.2877682613070935,4.423845708339943,7.775652146346531,
D. Independently owned active apps,App,6-month sustained sensitivity,1.269797530153731,2.5894706847555016,4.885579451181806,
E. Serious commercial attempts,App,6-month sustained sensitivity,2.800814197953124,5.882428692624096,10.913779267489726,
F. Maintained for at least 12 months,App,6-month sustained sensitivity,3.3179304727267662,7.0489270549869865,13.332143870530425,
A. All listed apps,Developer,6-month sustained sensitivity,0.32428128829246283,0.9991807008746679,2.821705802289551,
B. Active apps,Developer,6-month sustained sensitivity,1.5937144738262083,3.284354211209897,6.204421574954597,
C. Active monetized apps,Developer,6-month sustained sensitivity,4.162075122454349,7.515810116345417,12.535468917819582,
D. Independently owned active apps,Developer,6-month sustained sensitivity,2.3766710538932583,4.538070760672415,8.152722526684613,
E. Serious commercial attempts,Developer,6-month sustained sensitivity,5.130404558954602,9.924664337449096,17.141814319791994,
F. Maintained for at least 12 months,Developer,6-month sustained sensitivity,6.015952585254937,11.725474830006466,20.49743701240724,
