date,category,raw_posting_records,exact_url_dedup_records
2025-12-01,All,20,20
2025-12-01,Software Engineering,2,2
2025-12-01,Product Management,0,0
2025-12-01,"Data Science, AI & Machine Learning",14,14
2025-12-01,Quantitative Finance,0,0
2025-12-01,Hardware Engineering,4,4
2025-12-02,All,51,51
2025-12-02,Software Engineering,15,15
2025-12-02,Product Management,3,3
2025-12-02,"Data Science, AI & Machine Learning",27,27
2025-12-02,Quantitative Finance,2,2
2025-12-02,Hardware Engineering,4,4
2025-12-03,All,40,40
2025-12-03,Software Engineering,13,13
2025-12-03,Product Management,5,5
2025-12-03,"Data Science, AI & Machine Learning",15,15
2025-12-03,Quantitative Finance,1,1
2025-12-03,Hardware Engineering,6,6
2025-12-04,All,25,25
2025-12-04,Software Engineering,7,7
2025-12-04,Product Management,0,0
2025-12-04,"Data Science, AI & Machine Learning",15,15
2025-12-04,Quantitative Finance,0,0
2025-12-04,Hardware Engineering,3,3
2025-12-05,All,36,36
2025-12-05,Software Engineering,13,13
2025-12-05,Product Management,3,3
2025-12-05,"Data Science, AI & Machine Learning",15,15
2025-12-05,Quantitative Finance,0,0
2025-12-05,Hardware Engineering,5,5
2025-12-06,All,21,21
2025-12-06,Software Engineering,8,8
2025-12-06,Product Management,1,1
2025-12-06,"Data Science, AI & Machine Learning",10,10
2025-12-06,Quantitative Finance,1,1
2025-12-06,Hardware Engineering,1,1
2025-12-07,All,2,2
2025-12-07,Software Engineering,0,0
2025-12-07,Product Management,0,0
2025-12-07,"Data Science, AI & Machine Learning",0,0
2025-12-07,Quantitative Finance,0,0
2025-12-07,Hardware Engineering,2,2
2025-12-08,All,20,20
2025-12-08,Software Engineering,2,2
2025-12-08,Product Management,2,2
2025-12-08,"Data Science, AI & Machine Learning",11,11
2025-12-08,Quantitative Finance,0,0
2025-12-08,Hardware Engineering,5,5
2025-12-09,All,34,34
2025-12-09,Software Engineering,12,12
2025-12-09,Product Management,1,1
2025-12-09,"Data Science, AI & Machine Learning",18,18
2025-12-09,Quantitative Finance,0,0
2025-12-09,Hardware Engineering,3,3
2025-12-10,All,194,193
2025-12-10,Software Engineering,50,49
2025-12-10,Product Management,6,6
2025-12-10,"Data Science, AI & Machine Learning",121,121
2025-12-10,Quantitative Finance,0,0
2025-12-10,Hardware Engineering,17,17
2025-12-11,All,46,46
2025-12-11,Software Engineering,13,13
2025-12-11,Product Management,1,1
2025-12-11,"Data Science, AI & Machine Learning",27,27
2025-12-11,Quantitative Finance,1,1
2025-12-11,Hardware Engineering,4,4
2025-12-12,All,69,69
2025-12-12,Software Engineering,22,22
2025-12-12,Product Management,3,3
2025-12-12,"Data Science, AI & Machine Learning",34,34
2025-12-12,Quantitative Finance,0,0
2025-12-12,Hardware Engineering,10,10
2025-12-13,All,42,42
2025-12-13,Software Engineering,3,3
2025-12-13,Product Management,5,5
2025-12-13,"Data Science, AI & Machine Learning",21,21
2025-12-13,Quantitative Finance,0,0
2025-12-13,Hardware Engineering,13,13
2025-12-14,All,2,2
2025-12-14,Software Engineering,0,0
2025-12-14,Product Management,0,0
2025-12-14,"Data Science, AI & Machine Learning",2,2
2025-12-14,Quantitative Finance,0,0
2025-12-14,Hardware Engineering,0,0
2025-12-15,All,74,73
2025-12-15,Software Engineering,24,23
2025-12-15,Product Management,5,5
2025-12-15,"Data Science, AI & Machine Learning",38,38
2025-12-15,Quantitative Finance,0,0
2025-12-15,Hardware Engineering,7,7
2025-12-16,All,67,66
2025-12-16,Software Engineering,16,16
2025-12-16,Product Management,3,3
2025-12-16,"Data Science, AI & Machine Learning",39,38
2025-12-16,Quantitative Finance,1,1
2025-12-16,Hardware Engineering,8,8
2025-12-17,All,56,56
2025-12-17,Software Engineering,26,26
2025-12-17,Product Management,0,0
2025-12-17,"Data Science, AI & Machine Learning",23,23
2025-12-17,Quantitative Finance,1,1
2025-12-17,Hardware Engineering,6,6
2025-12-18,All,39,39
2025-12-18,Software Engineering,10,10
2025-12-18,Product Management,5,5
2025-12-18,"Data Science, AI & Machine Learning",23,23
2025-12-18,Quantitative Finance,0,0
2025-12-18,Hardware Engineering,1,1
2025-12-19,All,74,74
2025-12-19,Software Engineering,18,18
2025-12-19,Product Management,5,5
2025-12-19,"Data Science, AI & Machine Learning",36,36
2025-12-19,Quantitative Finance,1,1
2025-12-19,Hardware Engineering,14,14
2025-12-20,All,13,13
2025-12-20,Software Engineering,0,0
