rank,company,posting_records,share_of_records,cumulative_share
1,Nokia,176,0.018049430827607425,0.018049430827607425
2,RTX,157,0.016100912726899806,0.03415034355450723
3,The Walt Disney Company,138,0.014152394626192185,0.04830273818069942
4,TikTok,133,0.013639626704953339,0.06194236488565275
5,Microsoft,119,0.012203876525484566,0.07414624141113732
6,Bank of Montreal,91,0.00933237616654702,0.08347861757768434
7,General Dynamics Mission Systems,79,0.008101733155573788,0.09158035073325813
8,Cadence Design Systems,77,0.007896625987078248,0.09947697672033638
9,T-Mobile,73,0.007486411650087171,0.10696338837042355
10,Genentech,70,0.007178750897343862,0.11414213926776741
11,Robert Bosch Venture Capital,69,0.007076197313096093,0.1212183365808635
12,Leidos,67,0.006871090144600554,0.12808942672546406
13,Intel,61,0.006255768639113937,0.13434519536457798
14,Altom Transport,60,0.006153215054866167,0.14049841041944416
15,Royal Bank of Canada,58,0.005948107886370629,0.1464465183058148
16,Applied Materials,57,0.005845554302122859,0.15229207260793765
17,Western Digital,56,0.00574300071787509,0.15803507332581274
18,Tencent,56,0.00574300071787509,0.16377807404368783
19,CAE,52,0.005332786380884012,0.16911086042457185
20,GE Vernova,51,0.005230232796636243,0.17434109322120808
21,Autodesk,48,0.0049225720438929345,0.179263665265101
22,Motorola,47,0.0048200184596451645,0.18408368372474618
23,General Motors,47,0.0048200184596451645,0.18890370218439134
24,Johnson & Johnson,47,0.0048200184596451645,0.1937237206440365
25,KLA,46,0.004717464875397395,0.1984411855194339
26,Meta,45,0.004614911291149625,0.20305609681058354
27,CACI,44,0.004512357706901856,0.20756845451748537
28,Veolia,43,0.004409804122654086,0.21197825864013947
29,TD Bank,42,0.004307250538406317,0.2162855091785458
30,Kaiser Permanente,41,0.004204696954158548,0.22049020613270434
31,CIBC,41,0.004204696954158548,0.22469490308686288
32,ByteDance,40,0.004102143369910778,0.22879704645677365
33,Moog,39,0.003999589785663009,0.23279663624243668
34,Northrop Grumman,37,0.00379448261716747,0.23659111885960415
35,Magna,37,0.00379448261716747,0.24038560147677163
36,Paccar,36,0.0036919290329197004,0.2440775305096913
37,Fiserv,35,0.003589375448671931,0.24766690595836324
38,Coherent,35,0.003589375448671931,0.25125628140703515
39,Ciena,34,0.0034868218644241618,0.2547431032714593
40,Uber,33,0.0033842682801763922,0.25812737155163573
41,Micron Technology,32,0.0032817146959286227,0.26140908624756437
42,Samsung,32,0.0032817146959286227,0.26469080094349295
43,Samsung Research America,31,0.003179161111680853,0.2678699620551738
44,NVIDIA,31,0.003179161111680853,0.2710491231668547
45,KION Group,30,0.0030766075274330836,0.27412573069428775
46,Geotab,29,0.0029740539431853145,0.2770997846374731
47,Amentum,29,0.0029740539431853145,0.2800738385806584
48,Hewlett Packard (HP),29,0.0029740539431853145,0.2830478925238437
49,State Street,28,0.002871500358937545,0.28591939288278123
50,KBR,28,0.002871500358937545,0.2887908932417188
51,Trane Technologies,28,0.002871500358937545,0.2916623936006563
52,General Dynamics Information Technology,28,0.002871500358937545,0.2945338939595939
53,Tesla,27,0.0027689467746897754,0.29730284073428365
54,Roku,27,0.0027689467746897754,0.30007178750897345
55,Sandisk,27,0.0027689467746897754,0.3028407342836632
56,S&P Global,27,0.0027689467746897754,0.305609681058353
57,Hitachi,26,0.002666393190442006,0.308276074248795
58,GE Healthcare,26,0.002666393190442006,0.310942467439237
59,BMO,25,0.0025638396061942363,0.31350630704543125
60,Oracle,25,0.0025638396061942363,0.31607014665162547
61,Westinghouse Electric Company,25,0.0025638396061942363,0.3186339862578197
62,PG&E,25,0.0025638396061942363,0.32119782586401396
63,Intuitive Surgical,24,0.0024612860219464672,0.3236591118859604
64,Microchip Technology,24,0.0024612860219464672,0.32612039790790687
65,Cisco,23,0.0023587324376986977,0.32847913034560555
66,Jabil,23,0.0023587324376986977,0.3308378627833043
67,X Development,23,0.0023587324376986977,0.333196595221003
68,ASML,22,0.002256178853450928,0.3354527740744539
69,Rolls Royce,22,0.002256178853450928,0.3377089529279048
70,HARMAN International,22,0.002256178853450928,0.33996513178135573
71,Amazon,21,0.0021536252692031586,0.34211875705055894
72,Sigma Computing,21,0.0021536252692031586,0.3442723823197621
73,Altera Corporation,21,0.0021536252692031586,0.34642600758896525
74,Copart,21,0.0021536252692031586,0.3485796328581684
75,EXL,21,0.0021536252692031586,0.35073325812737155
