month,category,posting_records
2025-12,"Data Science, AI & Machine Learning",583
2025-12,Hardware Engineering,135
2025-12,Product Management,64
2025-12,Quantitative Finance,12
2025-12,Software Engineering,306
2026-01,"Data Science, AI & Machine Learning",660
2026-01,Hardware Engineering,173
2026-01,Product Management,120
2026-01,Quantitative Finance,15
2026-01,Software Engineering,457
2026-02,"Data Science, AI & Machine Learning",1045
2026-02,Hardware Engineering,330
2026-02,Product Management,174
2026-02,Quantitative Finance,38
2026-02,Software Engineering,699
2026-03,"Data Science, AI & Machine Learning",965
2026-03,Hardware Engineering,369
2026-03,Product Management,189
2026-03,Quantitative Finance,26
2026-03,Software Engineering,675
2026-04,"Data Science, AI & Machine Learning",539
2026-04,Hardware Engineering,258
2026-04,Product Management,100
2026-04,Quantitative Finance,16
2026-04,Software Engineering,511
2026-05,"Data Science, AI & Machine Learning",352
2026-05,Hardware Engineering,128
2026-05,Product Management,47
2026-05,Quantitative Finance,12
2026-05,Software Engineering,275
2026-06,"Data Science, AI & Machine Learning",243
2026-06,Hardware Engineering,59
2026-06,Product Management,8
2026-06,Quantitative Finance,3
2026-06,Software Engineering,165
