population,category,n,first_seen_min,p10,p25,median,p75,p90,first_seen_max,share_on_or_after_2026-01-01,share_on_or_after_2026-02-01,share_on_or_after_2026-03-01,share_on_or_after_2026-04-01,share_on_or_after_2026-05-01,share_on_or_after_2026-06-01
All raw records,All,9751,2025-12-01,2025-12-23,2026-01-30,2026-03-02,2026-04-06,2026-05-12,2026-06-27,0.8871910573274536,0.7410521997743821,0.5066147061839811,0.2785355348169419,0.13249923084811815,0.049020613270433805
All exact-URL deduped,All,9736,2025-12-01,2025-12-23,2026-01-30,2026-03-02,2026-04-06,2026-05-12,2026-06-27,0.8873253903040262,0.7416803615447822,0.5070870994248151,0.2786565324568611,0.13249794576828267,0.04899342645850452
Post-launch raw flow,All,9731,2025-12-02,2025-12-23,2026-01-30,2026-03-02,2026-04-06,2026-05-12,2026-06-27,0.889014489774946,0.7425752748946666,0.5076559449183023,0.2791080053437468,0.13277155482478675,0.049121364710718325
Post-launch exact-URL deduped flow,All,9716,2025-12-02,2025-12-23,2026-01-30,2026-03-02,2026-04-06,2026-05-12,2026-06-27,0.8891519143680527,0.7432070811033347,0.5081309180732811,0.2792301358583779,0.13277068752573076,0.04909427748044463
Raw records,Software Engineering,3088,2025-12-01,2026-01-02,2026-02-02,2026-03-04,2026-04-09,2026-05-13,2026-06-27,0.9009067357512953,0.7529145077720207,0.5265544041450777,0.3079663212435233,0.14248704663212436,0.053432642487046635
Exact-URL deduped,Software Engineering,3080,2025-12-01,2026-01-02,2026-02-02,2026-03-04,2026-04-09,2026-05-13,2026-06-27,0.9012987012987013,0.7542207792207792,0.5275974025974026,0.30844155844155846,0.14285714285714285,0.05357142857142857
Post-launch raw flow,Software Engineering,3086,2025-12-02,2026-01-02,2026-02-02,2026-03-04,2026-04-09,2026-05-13,2026-06-27,0.9014906027219702,0.7534024627349319,0.5268956578094621,0.3081659105638367,0.1425793907971484,0.053467271548930655
Post-launch exact-URL deduped flow,Software Engineering,3078,2025-12-02,2026-01-02,2026-02-02,2026-03-04,2026-04-09,2026-05-13,2026-06-27,0.9018843404808317,0.7547108512020793,0.5279402209226771,0.30864197530864196,0.142949967511371,0.05360623781676413
Raw records,Product Management,702,2025-12-02,2026-01-06,2026-01-30,2026-02-26,2026-03-27,2026-04-23,2026-06-23,0.9088319088319088,0.7378917378917379,0.49002849002849,0.2207977207977208,0.07834757834757834,0.011396011396011397
Exact-URL deduped,Product Management,702,2025-12-02,2026-01-06,2026-01-30,2026-02-26,2026-03-27,2026-04-23,2026-06-23,0.9088319088319088,0.7378917378917379,0.49002849002849,0.2207977207977208,0.07834757834757834,0.011396011396011397
Post-launch raw flow,Product Management,702,2025-12-02,2026-01-06,2026-01-30,2026-02-26,2026-03-27,2026-04-23,2026-06-23,0.9088319088319088,0.7378917378917379,0.49002849002849,0.2207977207977208,0.07834757834757834,0.011396011396011397
Post-launch exact-URL deduped flow,Product Management,702,2025-12-02,2026-01-06,2026-01-30,2026-02-26,2026-03-27,2026-04-23,2026-06-23,0.9088319088319088,0.7378917378917379,0.49002849002849,0.2207977207977208,0.07834757834757834,0.011396011396011397
Raw records,"Data Science, AI & Machine Learning",4387,2025-12-01,2025-12-18,2026-01-27,2026-02-26,2026-04-01,2026-05-14,2026-06-27,0.8671073626624116,0.716662867563255,0.4784590836562571,0.2584909961249145,0.13562799179393664,0.055390927741053114
Exact-URL deduped,"Data Science, AI & Machine Learning",4381,2025-12-01,2025-12-18,2026-01-27,2026-02-26,2026-04-01,2026-05-14,2026-06-27,0.8671536178954576,0.717187856653732,0.4786578406756448,0.25838849577721984,0.13535722437799588,0.05523853001597809
Post-launch raw flow,"Data Science, AI & Machine Learning",4373,2025-12-02,2025-12-18,2026-01-27,2026-02-26,2026-04-02,2026-05-14,2026-06-27,0.8698833752572604,0.7189572375943288,0.47999085296135374,0.25931854562085527,0.13606219986279441,0.055568259775897556
Post-launch exact-URL deduped flow,"Data Science, AI & Machine Learning",4367,2025-12-02,2025-12-18,2026-01-27,2026-02-26,2026-04-02,2026-05-14,2026-06-27,0.8699335928555072,0.7194870620563316,0.48019235172887564,0.25921685367529196,0.13579116098007785,0.055415617128463476
Raw records,Quantitative Finance,122,2025-12-02,2026-01-05,2026-02-04,2026-02-24,2026-04-01,2026-05-11,2026-06-19,0.9016393442622951,0.7786885245901639,0.4672131147540984,0.2540983606557377,0.12295081967213115,0.02459016393442623
Exact-URL deduped,Quantitative Finance,121,2025-12-02,2026-01-05,2026-02-04,2026-02-24,2026-04-01,2026-05-11,2026-06-19,0.9008264462809917,0.7768595041322314,0.47107438016528924,0.256198347107438,0.12396694214876033,0.024793388429752067
Post-launch raw flow,Quantitative Finance,122,2025-12-02,2026-01-05,2026-02-04,2026-02-24,2026-04-01,2026-05-11,2026-06-19,0.9016393442622951,0.7786885245901639,0.4672131147540984,0.2540983606557377,0.12295081967213115,0.02459016393442623
Post-launch exact-URL deduped flow,Quantitative Finance,121,2025-12-02,2026-01-05,2026-02-04,2026-02-24,2026-04-01,2026-05-11,2026-06-19,0.9008264462809917,0.7768595041322314,0.47107438016528924,0.256198347107438,0.12396694214876033,0.024793388429752067
Raw records,Hardware Engineering,1452,2025-12-01,2026-01-05,2026-02-05,2026-03-09,2026-04-08,2026-05-08,2026-06-27,0.9070247933884298,0.7878787878787878,0.5606060606060606,0.30647382920110194,0.12878787878787878,0.040633608815427
Exact-URL deduped,Hardware Engineering,1452,2025-12-01,2026-01-05,2026-02-05,2026-03-09,2026-04-08,2026-05-08,2026-06-27,0.9070247933884298,0.7878787878787878,0.5606060606060606,0.30647382920110194,0.12878787878787878,0.040633608815427
Post-launch raw flow,Hardware Engineering,1448,2025-12-02,2026-01-06,2026-02-05,2026-03-09,2026-04-08,2026-05-08,2026-06-27,0.9095303867403315,0.7900552486187845,0.5621546961325967,0.30732044198895025,0.12914364640883977,0.04074585635359116
Post-launch exact-URL deduped flow,Hardware Engineering,1448,2025-12-02,2026-01-06,2026-02-05,2026-03-09,2026-04-08,2026-05-08,2026-06-27,0.9095303867403315,0.7900552486187845,0.5621546961325967,0.30732044198895025,0.12914364640883977,0.04074585635359116
