month,category,posting_records
2025-12,AI/ML/Data,557
2025-12,"Data Science, AI & Machine Learning",26
2025-12,Hardware,131
2025-12,Hardware Engineering,4
2025-12,Product,64
2025-12,Quant,10
2025-12,Quantitative Finance,2
2025-12,Software,281
2025-12,Software Engineering,25
2026-01,AI/ML/Data,660
2026-01,Hardware,173
2026-01,Product,120
2026-01,Quant,15
2026-01,Software,456
2026-01,Software Engineering,1
2026-02,AI/ML/Data,1043
2026-02,"Data Science, AI & Machine Learning",2
2026-02,Hardware,330
2026-02,Product,174
2026-02,Quant,38
2026-02,Software,693
2026-02,Software Engineering,6
2026-03,AI/ML/Data,921
2026-03,"Data Science, AI & Machine Learning",44
2026-03,Hardware,368
2026-03,Hardware Engineering,1
2026-03,Product,189
2026-03,Quant,26
2026-03,Software,624
2026-03,Software Engineering,51
2026-04,AI/ML/Data,525
2026-04,"Data Science, AI & Machine Learning",14
2026-04,Hardware,258
2026-04,Product,100
2026-04,Quant,16
2026-04,Software,465
2026-04,Software Engineering,46
2026-05,AI/ML/Data,343
2026-05,"Data Science, AI & Machine Learning",9
2026-05,Hardware,128
2026-05,Product,47
2026-05,Quant,12
2026-05,Software,258
2026-05,Software Engineering,17
2026-06,AI/ML/Data,252
2026-06,"Data Science, AI & Machine Learning",1
2026-06,Hardware,61
2026-06,Product,7
2026-06,Product Management,1
2026-06,Quant,3
2026-06,Software,166
2026-06,Software Engineering,4
2026-07,AI/ML/Data,48
2026-07,Hardware,11
2026-07,Product,6
2026-07,Quant,22
2026-07,Software,44
